,A,K,Q,J,T,9,8,7,6,5,4,3,2
A,5.28,1.73,0.72,0.31,0.24,0.06,0.0,-0.0,-0.01,0.01,0.0,0.0,-0.0
K,1.55,3.99,0.24,0.19,0.1,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.01
Q,0.43,0.0,2.82,0.16,0.05,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.01
J,0.0,-0.0,-0.0,1.83,0.02,0.0,-0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.02
T,0.0,-0.0,-0.0,-0.0,0.94,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.01
9,-0.0,-0.0,-0.0,-0.0,-0.0,0.31,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0
8,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.03,0.0,-0.0,-0.0,-0.0,-0.0
7,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.06,0.0,-0.0,-0.0,-0.03
6,-0.0,-0.0,-0.0,-0.05,-0.03,0.0,-0.0,-0.0,-0.0,0.04,-0.0,-0.0,-0.0
5,-0.0,-0.0,-0.0,-0.09,-0.21,-0.19,-0.07,-0.0,-0.0,-0.0,0.04,-0.0,-0.0
4,-0.0,-0.0,-0.04,-0.13,-0.22,-0.34,-0.29,-0.17,-0.03,-0.0,-0.0,-0.0,-0.0
3,-0.0,0.0,-0.08,-0.17,-0.26,-0.37,-0.45,-0.38,-0.22,-0.06,-0.11,0.0,-0.0
2,-0.0,-0.05,-0.14,-0.23,-0.31,-0.41,-0.48,-0.57,-0.46,-0.28,-0.29,-0.35,-0.09
